"ID",title,slug,publishDate,content,eyecatch,categories
,河童,kappa,2025-07-30T01:00:00.000Z,"河童（かっぱ）
河童は日本の水辺に棲むとされる伝説上の生き物で、頭の皿が特徴的です。皿が乾くと力を失うとされ、水を与えると喜ぶと言われています。全身は緑色または赤色で、手足には水かきがあり、背中には甲羅を背負っています。相撲が好きで、人間に相撲を挑んでくるといった伝承も各地に残されています。また、きゅうりが好物とされ、「かっぱ巻き」の語源にもなっています。

河童の伝承は全国各地に存在し、地域によってその姿や性格は多様です。悪戯好きで人間を水中に引きずり込むこともあれば、薬の知識を持ち、人助けをすることもあったりと、両義的な存在として描かれることが多いです。現代でも、親しみやすいキャラクターとして、ゆるキャラや観光地のマスコットなどに採用されるなど、日本文化に深く根付いています。水辺での注意喚起や、自然への畏敬の念を表す存在として語り継がれてきました。",,"japan"
,天狗,tengu,2025-07-30T01:00:00.000Z,"天狗（てんぐ）
天狗は日本の山中に棲むとされる伝説上の存在で、神通力を持つと信じられています。一般的には、赤ら顔で鼻が高く、修験者のような装束を身につけ、翼を持つ姿で描かれます。手には羽団扇（はうちわ）を持ち、一扇ぎで風を起こすことができるとされています。時には巨大な体躯を持つ大天狗として、また時にはカラスのような姿をした烏天狗として描かれることもあります。

天狗は、山の神や神の使いとして崇められる一方で、傲慢な人間を懲らしめたり、山伏（修験者）を誘惑したりするなど、時に恐ろしい存在としても語られてきました。剣術や武術に長けているとされ、源義経が鞍馬山で天狗に武術を習ったという伝説は特に有名です。山岳信仰と結びつきが深く、修験道の世界観にも大きな影響を与えています。現代では、力強い守護神や、時にはユーモラスなキャラクターとして、様々な形で親しまれています。",,"japan"
,九尾の狐,kyuubi,2025-07-30T01:00:00.000Z,"九尾の狐（きゅうびのきつね）
九尾の狐は、東アジアの伝説に共通して登場する、非常に強力な力を持つとされる霊獣です。日本では特に、平安時代に玉藻前（たまものまえ）という絶世の美女に化けて、鳥羽上皇を惑わそうとしたという伝説が有名です。この狐は尾が九本あり、非常に賢く、変身能力に長けているとされます。その正体が露見すると、恐ろしい姿に戻り、災厄をもたらすと信じられていました。

九尾の狐は、その美しさで人々を魅了し、知恵と妖術で社会を混乱させようとする存在として描かれることが多いです。しかし、その力は時に国家を滅ぼすほどの巨大なものとされ、警戒の対象とされてきました。中国の周王朝を滅ぼした妲己（だっき）や、インドの摩竭提国（まがだこく）にも登場するなど、その起源は古く、国際的な広がりを持っています。現代でも、漫画やアニメ、ゲームなどのフィクション作品に頻繁に登場し、その妖艶で強力なイメージは多くの人々を魅了し続けています。",,"japan"
,トッケビ,tokkebi,2025-07-30T01:00:00.000Z,"トッケビ (도깨비)
トッケビは、韓国の民間伝承に登場する一種の精霊または妖怪です。通常、古くなった道具（ほうき、篩、農具など）に魂が宿って生まれるとされており、人間の姿に似ていますが、角が生えていたり、青や赤色の肌をしていたりと、様々な姿で描かれます。手には「トッケビバット（ドケビバット）」と呼ばれる魔法の棒や、金銀財宝を出す打ち出の小槌のようなものを持っていることが多いです。

トッケビは、人間の喜怒哀楽に敏感で、人間に対して様々な反応を示します。悪戯好きで人をからかうこともありますが、基本的には陽気でユーモラスな性格を持ち、人間と親交を深めることもあります。また、正直で心の善良な者には富をもたらし、邪悪な者には罰を与えるなど、因果応報の概念と結びつけられることもあります。近年では、人気ドラマ「トッケビ〜君がくれた愛しい日々〜」の影響もあり、非常に知名度が高まり、韓国を代表する架空の存在として世界中で知られるようになりました。",,"korea"
,九尾狐,kumiho,2025-07-30T01:00:00.000Z,"九尾狐（クミホ）
九尾狐（クミホ）は、韓国の伝説に登場する、尾が九本ある狐の妖怪です。中国の九尾の狐と起源を同じくしますが、韓国のクミホは、特に人間に化けて肝を食べることで人間の姿になろうとする、あるいは人間になろうと努力する存在として描かれることが多いです。美しい女性の姿をとることが多く、その魅惑的な容姿で男性を誘惑し、その精気を吸い取ると信じられていました。

クミホの物語は、悲劇的な愛の物語や、人間の業や欲望を描くテーマと結びつくことがよくあります。人間になりたいと願うクミホが、百日間にわたる禁忌を破ってしまうことで人間になれないなど、その努力が報われない結末を迎える話も少なくありません。一方で、人間と共存しようとする、あるいは人間を助けるクミホの物語も存在します。現代の韓国ドラマや映画、ウェブトゥーンなどでも人気の題材となっており、その神秘的で魅力的な存在感は、今も多くの人々を惹きつけています。",,"korea"
,チョンニョ,chonnyo,2025-07-30T01:00:00.000Z,"チョンニョ（天女）
チョンニョは、韓国の伝説に登場する天上の美しい仙女です。多くの場合、天から地上に降り立ち、泉で水浴びをしているところにきこりなどが忍び寄って羽衣を隠し、天上に戻れなくなったチョンニョと恋に落ちるという物語が有名です。羽衣を取り戻すことで天に戻る力を得るため、羽衣を隠されると地上に留まらざるを得なくなります。

チョンニョの物語は、美しい女性と人間の男性との間の禁断の恋や、天上と地上という異なる世界観の交錯を描くことが多いです。また、人間の欲や欺瞞、そして後悔といったテーマも含まれています。天女は、その美しさだけでなく、時に慈悲深く、人間に幸福をもたらす存在としても描かれます。現代でも、ロマンティックな要素を持つ古典的な物語として親しまれており、様々な芸術作品やエンターテインメントの題材となっています。",,"korea"
,龍,ryu,2025-07-30T01:00:00.000Z,"龍（りゅう）
龍は、中国文化において最も神聖で尊いとされる伝説上の生き物です。古くから水の神、雲の神として崇められ、雨を降らせて豊作をもたらす存在として信仰されてきました。鱗を持つ体が蛇のように長く、四肢には鋭い爪があり、頭には角が生えているのが特徴です。口からは火を吐くこともあり、天空を自由に飛び回るとされています。

龍は皇帝の象徴とされ、力、権威、繁栄、幸運の象徴とされています。中国の紋章や建築、芸術作品に頻繁に登場し、その姿は国家の象徴としても用いられてきました。「龍の末裔（子孫）」という言葉があるように、中国人は自らを龍と結びつけて考えています。また、龍には様々な種類があり、それぞれの役割や能力が異なります。現代でも、龍のイメージは吉祥の象徴として、人々の生活や文化に深く根付いています。",,"china"
,麒麟,kirin,2025-07-30T01:00:00.000Z,"麒麟（きりん）
麒麟は、中国の伝説に登場する霊獣で、仁義を重んじ、平和をもたらす瑞獣（ずいじゅう）とされています。鹿の体に牛の尾、馬のひづめ、そして龍のような鱗を持つとされ、頭には一本の角が生えているのが特徴です。非常に穏やかな性格で、生き物を踏みつけたり、草木を傷つけたりしないと伝えられています。

麒麟は、聖人が世に現れる際に姿を現すとされ、その出現は太平の世の到来を告げる吉兆と信じられてきました。孔子が生まれた際に麒麟が現れたという伝説は有名です。その優雅で威厳のある姿から、吉祥、幸福、長寿の象徴として、皇帝の玉座や装飾品、絵画などにも多く描かれてきました。現代でも、中国文化において麒麟は縁起の良い存在として、人々から愛され、様々な場面でその姿を目にすることができます。",,"china"
,鳳凰,houou,2025-07-30T01:00:00.000Z,"鳳凰（ほうおう）
鳳凰は、中国の伝説に登場する聖なる鳥で、百鳥の王とされています。美しい羽毛を持ち、その姿は孔雀と似ているとも言われますが、さらに神聖な輝きを放つとされます。雄を「鳳（ほう）」、雌を「凰（おう）」と呼び、夫婦仲が良いことの象徴でもあります。五色に輝く羽を持ち、その鳴き声は非常に美しいと伝えられています。

鳳凰は、龍と並んで中国文化における重要な吉祥の象徴であり、皇帝の徳や皇后の象徴とも結びつけられます。その出現は、聖王の出現や天下泰平の吉兆とされ、新たな時代の始まりや繁栄を告げると信じられてきました。不死鳥の伝説とも関連付けられることがあり、再生や不滅の象徴としても捉えられます。その優雅で力強い姿は、絵画、陶磁器、織物など、中国の伝統芸術に広く用いられ、現代でも高貴で縁起の良い存在として親しまれています。",,"china"
,鬼,oni,2025-07-30T01:00:00.000Z,"鬼（おに / ドケビ / グイ）
鬼は、日本、韓国、中国のいずれの国にも共通して存在する、人間に災いをもたらす異形の存在です。日本では「鬼（おに）」と呼ばれ、赤い肌や青い肌、頭に角が生え、虎の皮のパンツを履き、金棒を持つ姿が一般的です。豆まきの対象になることでも有名ですね。韓国では「トッケビ」が鬼に近い存在として語られますが、日本の鬼とは異なり、道具に魂が宿った陽気な精霊としての側面も持ちます。中国では「鬼（グイ）」と発音され、人間の死後の魂や悪霊、あるいは魔物全般を指すことが多いです。

いずれの国においても、鬼は強大な力を持つ恐ろしい存在として描かれる一方で、人間が持つ負の感情や欲望の象徴としても解釈されます。時に人間と交流し、その運命を左右することもありますが、基本的には人間に害をなす存在として恐れられてきました。しかし、現代においては、キャラクターとして親しまれたり、魔除けの象徴として扱われたりするなど、そのイメージは多様化しています。",,"japan,korea,china"
,仙人・仙女,sennin,2025-07-30T01:00:00.000Z,"仙人・仙女（せんにん・せんじょ / ソンイン・ソンニョ / シェンレン・シェンニュイ）
仙人や仙女は、道教思想を基盤として、日本、韓国、中国の三国に共通して広く伝わる伝説上の存在です。修行を積むことで不老不死の肉体や超常的な能力を得て、世俗を離れて山奥や天上界で暮らすとされる人々を指します。彼らはしばしば、雲に乗って空を飛んだり、瞬時に移動したり、あるいは人間離れした知恵や医療の知識を持っているとされます。

特に中国では、八仙などの具体的な仙人が信仰の対象となり、文化や芸術作品に多大な影響を与えました。韓国の「チョンニョ（天女）」も仙女の一種と言えるでしょう。日本では、山伏や修験者といった修行者たちが仙人のような存在として崇められることもありました。彼らは時に人間に助言を与えたり、不思議な力で病を治したりと、人々を導く存在として描かれる一方で、その超越的な存在ゆえに近寄りがたい神秘性も持ち合わせています。",,"japan,korea,china"
,人魚,ningyo,2025-07-30T01:00:00.000Z,"人魚（にんぎょ / インオ / レンユー）
人魚は、上半身が人間で下半身が魚の姿を持つ、水中に棲む伝説の生き物です。東アジアの伝承では、欧米の人魚とは異なる描かれ方をすることが多いです。日本では、人魚の肉を食べると不老不死になるという伝説や、人魚の涙が真珠になるという話があります。悲しい運命を背負った存在として描かれることもあれば、不思議な恩恵をもたらす存在として現れることもあります。

韓国では「人魚姫」のような物語も親しまれていますが、独自の伝説も存在します。中国では、美しい姿で人前を泳ぎ、その歌声で漁師を惑わすといった記述が見られることがあります。また、人魚の涙が宝石になるといった伝承も共通して見られます。いずれの国においても、人魚は水辺の神秘性を象徴し、人間とは異なる美しさや、時に悲劇的な運命を持つ存在として、古くから人々の想像力を掻き立ててきました。",,"japan,korea,china"
